No,year,month,day,hour,PM2.5_shunyi,PM10_shunyi,TEMP_shunyi,DEWP_shunyi,WSPM_shunyi,PM2.5_guanyan,PM10_guanyan,TEMP_guanyan,DEWP_guanyan,WSPM_guanyan,PM2.5_Percentile_Category_shunyi,PM10_Percentile_Category_shunyi,PM2.5_Percentile_Category_guanyan,PM10_Percentile_Category_guanyan
35,2013,3,2,10,26.0,35.0,0.7,-17.1,0.5,3.0,6.0,1.7,-16.3,1.6,Medium,Medium,Low,Low
36,2013,3,2,11,18.0,32.0,1.6,-16.8,1.6,3.0,11.0,2.2,-16.8,3.1,Low,Low,Low,Low
37,2013,3,2,12,19.0,22.0,2.1,-16.9,1.1,14.0,18.0,2.7,-16.4,2.7,Low,Low,Low,Low
38,2013,3,2,13,12.0,14.0,2.8,-16.3,1.0,21.0,25.0,3.3,-16.4,1.5,Low,Low,Low,Low
39,2013,3,2,14,18.0,23.0,3.1,-16.6,1.2,28.0,32.0,3.8,-16.0,1.3,Low,Low,Medium,Low
40,2013,3,2,15,32.0,34.0,3.2,-16.0,0.5,31.0,32.0,3.9,-16.5,1.2,Medium,Medium,Medium,Low
41,2013,3,2,16,43.0,47.0,3.1,-15.6,1.8,33.0,46.0,3.5,-15.2,2.5,Medium,Medium,Medium,Medium
42,2013,3,2,17,49.0,55.0,2.2,-15.4,1.4,45.0,62.0,2.2,-13.6,0.4,Medium,Medium,Medium,Medium
43,2013,3,2,18,38.0,51.0,1.7,-14.9,1.5,52.0,71.0,1.2,-12.3,0.9,Medium,Medium,Medium,Medium
44,2013,3,2,19,52.0,54.0,1.1,-14.6,1.3,58.0,83.0,1.5,-13.8,1.2,Medium,Medium,Medium,Medium
45,2013,3,2,20,69.0,82.0,0.7,-14.5,1.4,67.0,90.0,1.2,-14.1,1.2,High,High,High,Medium
46,2013,3,2,21,96.0,104.0,-0.1,-13.8,0.8,79.0,98.0,0.6,-14.2,1.3,High,High,High,High
47,2013,3,2,22,108.0,123.0,-0.2,-13.2,1.0,86.0,102.0,-0.6,-13.9,1.4,High,High,High,High
48,2013,3,2,23,130.0,136.0,-0.9,-14.8,1.6,79.0,88.0,-0.8,-13.4,1.3,Very High,High,High,Medium
49,2013,3,3,0,125.0,153.0,-1.2,-13.4,1.4,77.0,93.0,-1.4,-13.0,1.2,Very High,Very High,High,High
50,2013,3,3,1,96.0,118.0,-2.1,-12.2,1.0,93.0,104.0,-2.0,-13.2,1.2,High,High,High,High
51,2013,3,3,2,84.0,92.0,-3.8,-11.1,0.2,103.0,113.0,-2.8,-12.3,1.4,High,High,High,High
52,2013,3,3,3,80.0,90.0,-4.6,-10.2,0.1,113.0,126.0,-2.6,-13.2,1.2,High,High,High,High
53,2013,3,3,4,81.0,92.0,-3.8,-10.9,1.1,98.0,104.0,-4.3,-11.8,0.9,High,High,High,High
54,2013,3,3,5,120.0,106.0,-5.3,-9.9,1.1,86.0,95.0,-5.6,-10.9,0.8,Very High,High,High,High
55,2013,3,3,6,88.0,108.0,-4.1,-11.4,0.8,83.0,94.0,-5.8,-11.0,0.8,High,High,High,High
56,2013,3,3,7,92.0,97.0,-2.6,-11.9,1.4,82.0,100.0,-3.1,-11.1,1.5,High,High,High,High
57,2013,3,3,8,113.0,122.0,-0.1,-12.7,2.1,79.0,102.0,0.7,-13.0,2.3,Very High,High,High,High
58,2013,3,3,9,99.0,114.0,2.4,-13.0,1.0,82.0,115.0,3.5,-13.8,0.4,High,High,High,High
59,2013,3,3,10,88.0,95.0,4.8,-12.7,0.9,90.0,124.0,6.5,-13.2,1.3,High,High,High,High
60,2013,3,3,11,85.0,92.0,9.3,-12.6,1.4,98.0,123.0,11.4,-10.8,0.9,High,High,High,High
61,2013,3,3,12,95.0,106.0,11.8,-13.3,2.2,104.0,143.0,13.8,-13.3,1.1,High,High,High,High
62,2013,3,3,13,109.0,123.0,14.5,-12.7,4.7,92.0,133.0,16.0,-13.5,5.9,High,High,High,High
63,2013,3,3,14,99.0,114.0,15.9,-12.5,3.4,74.0,102.0,16.7,-14.0,4.3,High,High,High,High
64,2013,3,3,15,70.0,107.0,15.6,-12.8,3.1,47.0,109.0,16.9,-12.7,2.0,High,High,Medium,High
65,2013,3,3,16,45.0,96.0,14.9,-12.4,1.6,22.0,88.0,16.4,-15.4,2.9,Medium,High,Low,Medium
66,2013,3,3,17,41.0,73.0,13.0,-13.1,1.1,52.0,121.0,13.1,-10.1,1.7,Medium,Medium,Medium,High
67,2013,3,3,18,42.0,67.0,8.4,-11.0,0.0,65.0,135.0,8.7,-11.3,1.6,Medium,Medium,High,High
68,2013,3,3,19,39.0,66.0,5.3,-9.7,0.9,92.0,187.0,12.2,-13.7,2.0,Medium,Medium,High,Very High
69,2013,3,3,20,26.0,67.0,10.4,-12.3,2.4,138.0,234.0,11.7,-12.6,0.9,Medium,Medium,Very High,Very High
70,2013,3,3,21,34.0,64.0,7.4,-8.3,1.5,143.0,216.0,5.3,-10.9,0.0,Medium,Medium,Very High,Very High
71,2013,3,3,22,47.0,68.0,5.9,-11.3,1.4,13.0,47.0,3.1,-10.2,1.8,Medium,Medium,Low,Medium
72,2013,3,3,23,38.0,55.0,8.7,-11.3,4.2,30.0,50.0,5.2,-10.6,1.7,Medium,Medium,Medium,Medium
73,2013,3,4,0,32.0,55.0,8.9,-11.2,4.5,28.0,48.0,7.7,-11.1,2.6,Medium,Medium,Medium,Medium
74,2013,3,4,1,39.0,54.0,7.8,-11.0,2.6,35.0,50.0,8.2,-11.7,2.8,Medium,Medium,Medium,Medium
75,2013,3,4,2,30.0,50.0,5.7,-11.4,1.5,26.0,50.0,8.1,-11.8,4.3,Medium,Medium,Medium,Medium
76,2013,3,4,3,16.0,26.0,3.0,-12.1,1.1,8.0,28.0,7.2,-11.6,2.8,Low,Low,Low,Low
77,2013,3,4,4,3.0,8.0,4.9,-12.6,2.1,4.0,20.0,6.0,-11.6,1.0,Low,Low,Low,Low
78,2013,3,4,5,3.0,8.0,2.2,-12.1,1.0,6.0,25.0,2.7,-10.9,0.5,Low,Low,Low,Low
79,2013,3,4,6,3.0,9.0,2.6,-12.1,1.4,10.0,26.0,3.8,-11.4,2.3,Low,Low,Low,Low
80,2013,3,4,7,9.0,14.0,5.2,-11.9,1.2,7.0,22.0,6.5,-10.7,2.3,Low,Low,Low,Low
81,2013,3,4,8,11.0,21.0,8.2,-12.3,3.1,10.0,28.0,9.0,-12.2,3.1,Low,Low,Low,Low
82,2013,3,4,9,15.0,33.0,9.6,-13.6,1.5,13.0,29.0,10.6,-12.1,1.3,Low,Medium,Low,Low
83,2013,3,4,10,10.0,14.0,11.1,-13.8,1.4,10.0,22.0,11.9,-12.4,2.1,Low,Low,Low,Low
84,2013,3,4,11,3.0,9.0,12.0,-13.1,1.7,9.0,14.0,13.1,-13.0,3.0,Low,Low,Low,Low
85,2013,3,4,12,3.0,7.0,13.4,-13.6,3.5,9.0,25.0,14.2,-13.9,2.7,Low,Low,Low,Low
86,2013,3,4,13,5.0,8.0,14.4,-13.7,2.9,15.0,18.0,15.3,-13.0,2.0,Low,Low,Low,Low
87,2013,3,4,14,3.0,9.0,15.0,-14.2,3.5,3.0,10.0,15.2,-13.1,0.7,Low,Low,Low,Low
88,2013,3,4,15,3.0,6.0,16.0,-14.5,3.2,6.0,8.0,15.3,-13.0,2.4,Low,Low,Low,Low
89,2013,3,4,16,13.0,98.7370263066404,14.9,-13.3,3.0,3.0,6.0,14.5,-13.7,2.6,Low,High,Low,Low
90,2013,3,4,17,8.0,10.0,12.8,-13.3,1.8,3.0,100.0,12.7,-11.8,2.6,Low,Low,Low,High
91,2013,3,4,18,18.0,28.0,10.6,-13.5,1.6,17.0,70.0,11.6,-11.3,3.4,Low,Low,Low,Medium
92,2013,3,4,19,25.0,47.0,8.9,-12.3,1.3,27.0,58.0,10.9,-10.6,3.5,Medium,Medium,Medium,Medium
93,2013,3,4,20,37.0,60.0,7.5,-11.3,1.5,36.0,75.0,9.9,-10.3,3.1,Medium,Medium,Medium,Medium
94,2013,3,4,21,52.0,84.0,7.0,-10.3,1.6,41.0,78.0,8.4,-10.0,2.1,Medium,High,Medium,Medium
95,2013,3,4,22,63.0,97.0,6.6,-10.7,1.6,53.0,94.0,8.6,-9.9,2.4,High,High,Medium,High
96,2013,3,4,23,72.0,103.0,6.2,-10.6,1.6,59.0,103.0,7.7,-9.3,2.1,High,High,Medium,High
97,2013,3,5,0,80.0,100.0,4.7,-9.9,1.5,70.0,102.0,4.7,-9.1,1.6,High,High,High,High
98,2013,3,5,1,82.0,100.0,2.2,-9.4,0.9,93.0,116.0,1.1,-7.9,0.0,High,High,High,High
99,2013,3,5,2,93.0,106.0,2.2,-10.7,1.7,108.0,135.0,-0.6,-8.1,0.0,High,High,High,High
100,2013,3,5,3,98.0,116.0,0.5,-8.2,0.2,116.0,143.0,0.2,-8.8,1.2,High,High,Very High,High
101,2013,3,5,4,110.0,133.0,0.2,-9.0,1.7,121.0,137.0,1.8,-9.5,1.5,Very High,High,Very High,High
102,2013,3,5,5,108.0,127.0,0.3,-7.5,0.0,121.0,138.0,0.6,-9.4,0.8,High,High,Very High,High
103,2013,3,5,6,104.0,116.0,-0.1,-8.3,1.0,111.0,146.0,-0.2,-8.6,1.3,High,High,High,High
104,2013,3,5,7,100.0,108.0,1.7,-7.6,1.0,100.0,130.0,2.9,-9.1,1.3,High,High,High,High
105,2013,3,5,8,103.0,111.0,5.3,-7.9,1.3,98.0,136.0,5.1,-9.1,1.2,High,High,High,High
106,2013,3,5,9,104.0,123.0,7.4,-7.9,1.5,106.0,168.0,7.7,-8.4,1.5,High,High,High,Very High
107,2013,3,5,10,114.0,136.0,8.3,-7.1,1.4,111.0,142.0,9.4,-8.2,1.5,Very High,High,High,High
108,2013,3,5,11,124.0,150.0,10.7,-6.6,1.1,119.0,141.0,10.6,-8.1,1.4,Very High,Very High,Very High,High
109,2013,3,5,12,127.0,147.0,12.3,-7.2,1.4,129.0,154.0,11.9,-7.5,1.3,Very High,Very High,Very High,Very High
110,2013,3,5,13,129.0,149.0,12.2,-7.3,0.6,135.0,152.0,12.6,-8.0,1.0,Very High,Very High,Very High,Very High
111,2013,3,5,14,142.0,154.0,13.6,-7.8,1.7,128.0,139.0,13.5,-7.8,1.4,Very High,Very High,Very High,High
112,2013,3,5,15,85.0,102.0,13.7,-7.1,1.6,152.0,152.0,13.8,-7.6,1.2,High,High,Very High,Very High
113,2013,3,5,16,3.0,3.0,12.9,-6.2,1.0,158.0,158.0,13.2,-7.0,2.0,Low,Low,Very High,Very High
114,2013,3,5,17,3.0,74.0,12.0,-6.5,1.2,178.0,189.0,12.1,-6.4,1.6,Low,Medium,Very High,Very High
115,2013,3,5,18,3.0,238.0,8.9,-5.4,0.7,196.0,216.0,9.0,-5.7,1.4,Low,Very High,Very High,Very High
116,2013,3,5,19,154.0,226.0,7.3,-5.1,1.3,200.0,224.0,5.3,-4.8,0.0,Very High,Very High,Very High,Very High
117,2013,3,5,20,193.0,234.0,4.1,-4.1,1.3,201.0,224.0,3.3,-4.7,0.2,Very High,Very High,Very High,Very High
118,2013,3,5,21,218.0,247.0,5.0,-5.1,1.5,207.0,224.0,2.9,-4.6,1.2,Very High,Very High,Very High,Very High
119,2013,3,5,22,249.0,261.0,5.3,-5.7,1.4,215.0,236.0,5.2,-6.1,1.1,Very High,Very High,Very High,Very High
120,2013,3,5,23,233.0,239.0,4.1,-5.7,1.7,215.0,227.0,4.9,-6.1,1.4,Very High,Very High,Very High,Very High
121,2013,3,6,0,200.0,208.0,4.5,-5.0,0.7,230.0,248.0,4.9,-6.4,1.2,Very High,Very High,Very High,Very High
122,2013,3,6,1,163.0,184.0,2.9,-5.5,1.0,244.0,264.0,4.8,-5.9,1.5,Very High,Very High,Very High,Very High
123,2013,3,6,2,172.0,173.0,4.6,-6.0,1.2,176.0,222.0,4.1,-5.9,1.9,Very High,Very High,Very High,Very High
124,2013,3,6,3,160.0,175.0,4.1,-5.9,1.8,160.0,189.0,4.0,-6.3,1.9,Very High,Very High,Very High,Very High
125,2013,3,6,4,146.0,158.0,3.7,-5.8,2.1,194.0,204.0,3.9,-6.1,1.4,Very High,Very High,Very High,Very High
126,2013,3,6,5,137.0,144.0,3.9,-5.9,1.8,186.0,194.0,4.1,-5.7,1.6,Very High,Very High,Very High,Very High
127,2013,3,6,6,129.0,140.0,4.0,-5.8,2.0,163.0,186.0,4.5,-5.3,2.0,Very High,Very High,Very High,Very High
128,2013,3,6,7,128.0,136.0,4.5,-5.9,1.9,158.0,188.0,5.7,-5.0,1.7,Very High,High,Very High,Very High
129,2013,3,6,8,120.0,132.0,5.3,-5.7,2.1,192.0,204.0,6.6,-4.8,1.7,Very High,High,Very High,Very High
130,2013,3,6,9,136.0,138.0,6.4,-5.6,2.2,191.0,225.0,7.5,-4.6,1.7,Very High,Very High,Very High,Very High
131,2013,3,6,10,143.0,156.0,8.4,-5.5,1.7,178.0,182.0,8.7,-4.5,1.5,Very High,Very High,Very High,Very High
132,2013,3,6,11,164.0,174.0,9.1,-5.6,2.1,176.0,181.0,10.1,-4.7,1.4,Very High,Very High,Very High,Very High
133,2013,3,6,12,160.0,174.0,9.7,-5.4,1.7,185.0,195.0,11.1,-4.2,0.4,Very High,Very High,Very High,Very High
134,2013,3,6,13,168.0,186.0,10.8,-4.9,0.9,208.0,225.0,12.6,-3.7,1.5,Very High,Very High,Very High,Very High
135,2013,3,6,14,160.0,173.0,12.2,-4.9,1.2,218.0,245.0,14.5,-3.3,1.6,Very High,Very High,Very High,Very High
136,2013,3,6,15,161.0,176.0,13.1,-4.6,1.2,232.0,256.0,14.7,-3.2,2.5,Very High,Very High,Very High,Very High
137,2013,3,6,16,165.0,191.0,12.8,-4.8,0.2,228.0,248.0,14.2,-3.2,1.4,Very High,Very High,Very High,Very High
138,2013,3,6,17,188.0,218.0,10.2,-3.5,0.6,226.0,252.0,11.6,-3.4,1.1,Very High,Very High,Very High,Very High
139,2013,3,6,18,201.0,217.0,8.1,-3.4,0.0,228.0,277.0,6.8,-2.9,0.9,Very High,Very High,Very High,Very High
140,2013,3,6,19,186.0,217.0,5.5,-3.3,0.1,225.0,265.0,5.1,-2.5,1.2,Very High,Very High,Very High,Very High
141,2013,3,6,20,194.0,233.0,4.4,-3.6,0.8,231.0,270.0,4.4,-2.5,1.1,Very High,Very High,Very High,Very High
142,2013,3,6,21,203.0,241.0,3.4,-3.0,0.1,236.0,266.0,3.8,-2.2,1.9,Very High,Very High,Very High,Very High
143,2013,3,6,22,217.0,245.0,3.7,-3.1,0.5,231.0,262.0,2.4,-2.5,1.2,Very High,Very High,Very High,Very High
144,2013,3,6,23,248.0,277.0,2.5,-2.6,0.9,238.0,266.0,2.3,-2.4,1.3,Very High,Very High,Very High,Very High
145,2013,3,7,0,299.0,312.0,1.2,-3.3,0.0,242.0,275.0,1.5,-2.6,0.8,Very High,Very High,Very High,Very High
146,2013,3,7,1,312.0,320.0,1.7,-3.6,0.9,246.0,281.0,0.7,-2.7,1.2,Very High,Very High,Very High,Very High
147,2013,3,7,2,275.0,308.0,1.1,-3.4,0.0,236.0,264.0,1.5,-2.5,0.6,Very High,Very High,Very High,Very High
148,2013,3,7,3,278.0,305.0,0.1,-3.3,1.9,224.0,260.0,0.3,-2.7,1.7,Very High,Very High,Very High,Very High
149,2013,3,7,4,255.0,290.0,0.2,-3.4,0.5,221.0,254.0,-0.9,-3.3,0.5,Very High,Very High,Very High,Very High
150,2013,3,7,5,192.0,240.0,-0.4,-3.8,0.9,218.0,232.0,1.6,-1.5,1.7,Very High,Very High,Very High,Very High
151,2013,3,7,6,169.0,189.0,0.9,-3.6,0.7,214.0,222.0,0.3,-2.7,0.4,Very High,Very High,Very High,Very High
152,2013,3,7,7,151.0,176.0,3.1,-2.6,1.7,220.0,246.0,2.4,-1.4,1.5,Very High,Very High,Very High,Very High
153,2013,3,7,8,126.0,149.0,6.5,-2.2,1.1,237.0,250.0,8.3,-1.0,0.8,Very High,Very High,Very High,Very High
154,2013,3,7,9,126.0,140.0,8.4,-2.0,1.4,262.0,342.0,10.1,-0.7,0.6,Very High,Very High,Very High,Very High
155,2013,3,7,10,157.0,165.0,10.5,-1.9,1.0,278.0,333.0,12.7,-1.6,1.2,Very High,Very High,Very High,Very High
156,2013,3,7,11,220.0,227.0,14.4,-3.0,2.4,280.0,299.0,16.5,-1.6,1.7,Very High,Very High,Very High,Very High
157,2013,3,7,12,263.0,264.0,15.8,-2.7,3.0,289.0,328.0,17.1,-3.1,3.7,Very High,Very High,Very High,Very High
158,2013,3,7,13,272.0,280.0,17.3,-1.9,2.6,297.0,344.0,17.7,-3.2,3.1,Very High,Very High,Very High,Very High
159,2013,3,7,14,330.0,335.0,17.7,-2.1,1.5,252.0,254.0,18.3,-3.2,3.6,Very High,Very High,Very High,Very High
160,2013,3,7,15,366.0,371.0,18.1,-2.3,1.4,264.0,282.0,18.6,-1.8,3.3,Very High,Very High,Very High,Very High
161,2013,3,7,16,259.0,290.0,17.4,-0.8,1.1,230.0,230.0,17.9,-0.9,1.9,Very High,Very High,Very High,Very High
162,2013,3,7,17,249.0,262.0,15.2,-0.2,1.2,192.0,205.0,15.4,-1.7,1.4,Very High,Very High,Very High,Very High
163,2013,3,7,18,318.0,328.0,13.0,0.0,1.5,205.0,242.0,14.4,-2.5,1.9,Very High,Very High,Very High,Very High
164,2013,3,7,19,404.0,435.0,11.2,0.6,0.4,197.0,235.0,13.4,-2.6,1.5,Very High,Very High,Very High,Very High
165,2013,3,7,20,484.0,497.0,9.2,0.4,0.4,197.0,247.0,11.8,-2.1,1.5,Very High,Very High,Very High,Very High
166,2013,3,7,21,446.0,486.0,6.9,0.1,0.0,263.0,309.0,9.2,-1.3,1.4,Very High,Very High,Very High,Very High
167,2013,3,7,22,425.0,445.0,6.4,-0.4,0.9,319.0,375.0,7.5,-1.2,1.3,Very High,Very High,Very High,Very High
168,2013,3,7,23,416.0,425.0,5.2,-0.6,1.0,369.0,414.0,6.6,-0.9,0.1,Very High,Very High,Very High,Very High
169,2013,3,8,0,344.0,385.0,5.3,-1.4,1.3,358.0,372.0,4.1,-1.3,0.0,Very High,Very High,Very High,Very High
170,2013,3,8,1,386.0,340.0,4.5,-1.7,1.1,353.0,368.0,3.3,-1.7,0.9,Very High,Very High,Very High,Very High
171,2013,3,8,2,326.0,352.0,3.7,-1.7,1.6,351.0,361.0,2.5,-1.9,0.8,Very High,Very High,Very High,Very High
172,2013,3,8,3,301.0,312.0,4.0,-2.2,1.6,335.0,337.0,1.8,-1.8,0.0,Very High,Very High,Very High,Very High
173,2013,3,8,4,335.0,278.0,3.2,-2.8,0.5,273.0,308.0,1.3,-1.8,1.0,Very High,Very High,Very High,Very High
174,2013,3,8,5,232.0,249.0,1.9,-2.8,0.5,265.0,293.0,1.4,-1.5,0.8,Very High,Very High,Very High,Very High
175,2013,3,8,6,265.0,222.0,2.3,-2.4,0.7,291.0,293.0,1.1,-1.8,0.8,Very High,Very High,Very High,Very High
176,2013,3,8,7,263.0,221.0,6.8,-2.1,2.0,282.0,307.0,5.7,0.5,1.0,Very High,Very High,Very High,Very High
177,2013,3,8,8,216.0,223.0,10.0,-2.0,2.0,266.0,308.0,10.9,1.4,0.7,Very High,Very High,Very High,Very High
178,2013,3,8,9,207.0,226.0,14.5,-2.0,1.2,315.0,358.0,16.9,-0.4,1.0,Very High,Very High,Very High,Very High
179,2013,3,8,10,174.0,196.0,16.8,-1.4,2.1,314.0,331.0,19.1,-0.4,1.9,Very High,Very High,Very High,Very High
180,2013,3,8,11,181.0,244.0,20.0,-3.0,3.1,225.0,258.0,20.5,-3.3,4.4,Very High,Very High,Very High,Very High
181,2013,3,8,12,212.0,197.0,17.7,1.6,5.5,185.0,210.0,21.7,-2.3,3.0,Very High,Very High,Very High,Very High
182,2013,3,8,13,377.0,515.0,15.8,1.9,6.2,133.0,188.0,22.5,-2.3,3.3,Very High,Very High,Very High,Very High
183,2013,3,8,14,558.0,668.0,14.4,0.6,6.7,127.0,185.0,17.4,1.4,4.5,Very High,Very High,Very High,Very High
184,2013,3,8,15,253.0,330.0,13.2,0.9,3.5,268.0,501.0,13.9,1.2,2.7,Very High,Very High,Very High,Very High
185,2013,3,8,16,170.0,229.0,11.7,-0.8,2.6,163.0,277.0,11.9,0.0,2.6,Very High,Very High,Very High,Very High
186,2013,3,8,17,139.0,156.0,10.5,-0.9,3.1,116.0,170.0,10.3,-0.5,2.8,Very High,Very High,Very High,Very High
187,2013,3,8,18,79.0,92.0,9.2,-1.3,1.8,84.0,117.0,9.3,-0.9,1.4,High,High,High,High
188,2013,3,8,19,58.0,88.0,8.1,-2.6,2.7,73.0,91.0,8.0,-0.3,0.8,High,High,High,High
189,2013,3,8,20,90.0,104.0,6.9,-3.7,1.7,90.0,116.0,7.9,-1.6,1.4,High,High,High,High
190,2013,3,8,21,90.0,113.0,6.1,-3.8,1.7,48.0,63.0,7.2,-1.5,1.6,High,High,Medium,Medium
191,2013,3,8,22,79.0,80.0,5.2,-4.4,1.7,46.0,84.0,6.3,-3.4,0.9,High,High,Medium,Medium
192,2013,3,8,23,89.0,93.0,3.8,-3.3,0.7,78.0,92.0,5.7,-3.4,1.0,High,High,High,High
193,2013,3,9,0,54.0,84.0,2.9,-3.0,1.0,47.0,61.0,3.6,-2.6,0.6,Medium,High,Medium,Medium
194,2013,3,9,1,93.0,98.0,2.5,-3.8,0.6,52.0,73.0,2.1,-2.6,1.1,High,High,Medium,Medium
195,2013,3,9,2,64.0,93.0,2.5,-3.8,1.7,62.0,88.0,1.4,-3.1,0.0,High,High,High,Medium
196,2013,3,9,3,99.0,105.0,1.6,-3.7,0.6,70.0,96.0,1.1,-3.2,1.4,High,High,High,High
197,2013,3,9,4,119.0,131.0,1.4,-3.5,0.8,73.0,97.0,1.8,-2.3,0.0,Very High,High,High,High
198,2013,3,9,5,87.0,105.0,2.7,-3.4,1.5,74.0,96.0,3.2,-2.8,1.3,High,High,High,High
199,2013,3,9,6,106.0,115.0,1.8,-3.3,1.2,97.0,112.0,2.8,-2.5,1.0,High,High,High,High
200,2013,3,9,7,114.0,124.0,3.2,-3.2,3.3,98.0,116.0,4.6,-2.1,1.8,Very High,High,High,High
201,2013,3,9,8,117.0,143.0,6.5,-2.9,3.0,99.0,121.0,8.4,-1.7,2.6,Very High,Very High,High,High
202,2013,3,9,9,127.0,168.0,16.1,-2.9,7.8,104.0,146.0,16.3,-0.4,3.3,Very High,Very High,High,High
203,2013,3,9,10,123.0,177.0,16.3,-8.8,12.8,125.0,328.0,16.7,-4.6,7.7,Very High,Very High,Very High,Very High
204,2013,3,9,11,76.0,764.0,14.0,-11.5,9.7,76.0,737.0,14.3,-9.1,7.4,High,Very High,High,Very High
205,2013,3,9,12,79.49160200286961,98.7370263066404,12.7,-15.1,9.9,44.0,987.0,12.4,-14.4,7.9,High,High,Medium,Very High
